station,network,lat,lon,dist,tP,tS,snr
DAV,IU,7.0697,125.5791,31.66864475040515,383.4453606147651,693.720269843316,12.165413091106412
BRVK,II,53.0581,70.2828,32.5291547115039,390.98628912093085,707.1072296099147,2.9737219926666456
ABKT,II,37.9304,58.1189,37.59735331704244,434.6054723213423,784.9427365701371,18.414747386783823
ARU,II,56.4302,58.5625,40.072109132514335,455.33913520714276,822.2042673232546,3.5125119445399475
GUMO,IU,13.5893,144.8684,41.812884957068185,469.6813528037348,848.086046163389,7.721844207633075
COCO,II,-12.1901,96.8349,43.64808596969224,484.5772133358526,875.0623244776673,5.228917078517441
PET,IU,53.0233,158.6499,45.14362098010938,496.54253882084754,896.8027659028729,28.569473191394454
GNI,IU,40.148,44.741,47.71111253011482,516.7135234847767,933.5987589124093,69.43739544842953
DGAR,II,-7.4121,72.4525,48.50500482022511,522.8558315616447,944.8392797149661,5.3879408243078055
KIV,II,43.9553,42.6863,48.75078739115443,524.748202457059,948.3056150029415,1.1440147836521104
OBN,II,55.1146,36.5674,52.02217960970093,549.518819214016,993.8355632713441,17.315190412449947
LVZ,II,67.8979,34.6514,53.55221830232194,560.8385380864079,1014.7353524779259,0.7707099532885425
VSU,GE,58.462002,26.734699,57.15478573195971,586.8181159114182,1062.9363334890763,1.9038293568170501
PMG,IU,-9.4047,147.1597,58.22368976493199,594.3457531939241,1076.9615533266287,1.0932683810504615
GAMB,AK,63.7758,-171.7036,60.28274342116009,608.6117052092688,1103.6230724927022,1.9442277591942345
ATKA,AK,52.2016,-174.1975,61.547746958823,617.2238218199534,1119.7664100360112,1.9492221782521395
CTAO,IU,-20.0882,146.2545,65.59086710111305,643.9699753623995,1170.1497829603577,37.06642932935027
BFO,II,48.3301,8.3296,70.466288490583,674.6407423672792,1228.4105968151575,4.878298771404365
DOT,AK,63.6487,-144.0674,71.59577156697681,681.4981964205737,1241.5142144922336,0.8713433254870581
BMR,AK,60.9677,-144.6051,72.87094184494303,689.127579509552,1256.125959411726,0.9707657677055075
JOHN,IU,16.7329,-169.5292,79.03361709397298,724.2972250510251,1323.9961502081476,2.508913959436021
YKW3,CN,62.5616,-114.6099,81.61090359495425,738.1561880762268,1350.9957083143643,4.056247322912598
PAB,IU,39.5446,-4.3499,82.73818114612709,744.0568239659581,1362.5411059609837,18.064257504459974
TAU,II,-42.9099,147.3204,84.17142091121698,751.4162106855251,1376.9829464898603,1.5072607181743272
FRB,CN,63.7469,-68.5451,85.03800403221187,755.7877425305703,1385.5855562267327,1.2327912427767092
KIP,IU,21.42,-158.0112,86.04783441636256,760.8061326820447,1395.4852982862747,4.340151467361871
POHA,IU,19.7573,-155.5326,88.89738434054253,774.5250726912119,1422.6822370021946,13.777883395204881
